"EICHER_MOTOR_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
01-JAN-15,15239.15,15239.15,15239.15
02-JAN-15,15065.55,15152.35,15152.35
05-JAN-15,15133.55,15146.0833333333333333333333333333333333,15146.0833333333333333333333333333333333
06-JAN-15,14753.1,15047.8375,15047.8375
07-JAN-15,14945.55,15027.38,15027.38
08-JAN-15,14877.8,15002.45,15002.45
09-JAN-15,14727.1,14963.1142857142857142857142857142857143,14963.1142857142857142857142857142857143
12-JAN-15,14871.85,14951.70625,14951.70625
13-JAN-15,14800.7,14934.9277777777777777777777777777777778,14934.9277777777777777777777777777777778
14-JAN-15,14831.2,14924.555,14924.555
15-JAN-15,15122.6,14942.5590909090909090909090909090909091,14942.5590909090909090909090909090909091
16-JAN-15,15330.5,14974.8875,14974.8875
19-JAN-15,15466.1,15012.6730769230769230769230769230769231,15012.6730769230769230769230769230769231
20-JAN-15,15468.85,15045.2571428571428571428571428571428571,15045.2571428571428571428571428571428571
21-JAN-15,15360.75,15066.29,15066.29
22-JAN-15,15286.35,15080.04375,15080.04375
23-JAN-15,15186.1,15086.2823529411764705882352941176470588,15086.2823529411764705882352941176470588
27-JAN-15,16086.3,15141.8388888888888888888888888888888889,15141.8388888888888888888888888888888889
28-JAN-15,16340.6,15204.9315789473684210526315789473684211,15204.9315789473684210526315789473684211
29-JAN-15,16455.9,15267.48,15267.48
30-JAN-15,16303.5,15320.6975,15316.8142857142857142857142857142857143
02-FEB-15,16589.6,15396.9,15374.6681818181818181818181818181818182
03-FEB-15,16320.1,15456.2275,15415.7739130434782608695652173913043478
04-FEB-15,15927.65,15514.955,15437.1020833333333333333333333333333333
05-FEB-15,15813.75,15558.365,15452.168
06-FEB-15,15584.55,15593.7025,15457.2596153846153846153846153846153846
09-FEB-15,15113.9,15613.0425,15444.5425925925925925925925925925925926
10-FEB-15,15188.45,15628.8725,15435.3964285714285714285714285714285714
11-FEB-15,16134.6,15695.5675,15459.5068965517241379310344827586206897
12-FEB-15,16407.15,15774.365,15491.095
13-FEB-15,16242,15830.335,15515.3177419354838709677419354838709677
16-FEB-15,16109.45,15869.2825,15533.884375
18-FEB-15,16938,15942.8775,15576.4333333333333333333333333333333333
19-FEB-15,16678.4,16003.355,15608.8441176470588235294117647058823529
20-FEB-15,16373,16053.9675,15630.6771428571428571428571428571428571
23-FEB-15,16004.9,16089.895,15641.0722222222222222222222222222222222
24-FEB-15,15813.3,16121.255,15645.727027027027027027027027027027027
25-FEB-15,15612.65,16097.5725,15644.8565789473684210526315789473684211
26-FEB-15,15213.8,16041.2325,15633.8038461538461538461538461538461538
27-FEB-15,15808.05,16008.84,15638.16
28-FEB-15,16226.6,16004.995,15652.5121951219512195121951219512195122
02-MAR-15,16515.85,16001.3075,15673.0678571428571428571428571428571429
03-MAR-15,15891.3,15979.8675,15678.143023255813953488372093023255814
04-MAR-15,16050.15,15985.9925,15686.5977272727272727272727272727272727
05-MAR-15,15996,15995.105,15693.4733333333333333333333333333333333
09-MAR-15,15692.35,16000.495,15693.4489130434782608695652173913043478
10-MAR-15,15963.7,16042.985,15699.1989361702127659574468085106382979
11-MAR-15,16045.85,16085.855,15706.4208333333333333333333333333333333
12-MAR-15,16316.4,16094.945,15718.869387755102040816326530612244898
13-MAR-15,15879.3,16068.5525,15722.078
16-MAR-15,15803.25,16046.615,15733.36
17-MAR-15,15935.7,16037.9275,15750.763
18-MAR-15,16043.45,15993.2,15768.961
