"TVS_MOTORS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
01-JAN-15,276.85,276.85,276.85
02-JAN-15,267.8,272.325,272.325
05-JAN-15,271.2,271.95,271.95
06-JAN-15,268,270.9625,270.9625
07-JAN-15,278.55,272.48,272.48
08-JAN-15,295.8,276.366666666666666666666666666666666667,276.366666666666666666666666666666666667
09-JAN-15,296.7,279.271428571428571428571428571428571429,279.271428571428571428571428571428571429
12-JAN-15,300.65,281.94375,281.94375
13-JAN-15,308.45,284.888888888888888888888888888888888889,284.888888888888888888888888888888888889
14-JAN-15,307.5,287.15,287.15
15-JAN-15,315.2,289.7,289.7
16-JAN-15,319.4,292.175,292.175
19-JAN-15,308.85,293.457692307692307692307692307692307692,293.457692307692307692307692307692307692
20-JAN-15,309.05,294.571428571428571428571428571428571429,294.571428571428571428571428571428571429
21-JAN-15,300.85,294.99,294.99
22-JAN-15,300.65,295.34375,295.34375
23-JAN-15,306.15,295.979411764705882352941176470588235294,295.979411764705882352941176470588235294
27-JAN-15,308.15,296.655555555555555555555555555555555556,296.655555555555555555555555555555555556
28-JAN-15,312,297.463157894736842105263157894736842105,297.463157894736842105263157894736842105
29-JAN-15,310.15,298.0975,298.0975
30-JAN-15,308.15,299.6625,298.57619047619047619047619047619047619
02-FEB-15,286.25,300.585,298.015909090909090909090909090909090909
03-FEB-15,285.6,301.305,297.476086956521739130434782608695652174
04-FEB-15,294.3,302.62,297.34375
05-FEB-15,293.1,303.3475,297.174
06-FEB-15,292.9,303.2025,297.009615384615384615384615384615384615
09-FEB-15,294.45,303.09,296.914814814814814814814814814814814815
10-FEB-15,294.85,302.8,296.841071428571428571428571428571428571
11-FEB-15,301.2,302.4375,296.991379310344827586206896551724137931
12-FEB-15,304.95,302.31,297.256666666666666666666666666666666667
13-FEB-15,307.45,301.9225,297.585483870967741935483870967741935484
16-FEB-15,302.4,301.0725,297.7359375
18-FEB-15,301.25,300.6925,297.842424242424242424242424242424242424
19-FEB-15,294.85,299.9825,297.754411764705882352941176470588235294
20-FEB-15,295.3,299.705,297.684285714285714285714285714285714286
23-FEB-15,289.4,299.1425,297.454166666666666666666666666666666667
24-FEB-15,269.8,297.325,296.706756756756756756756756756756756757
25-FEB-15,271.05,295.47,296.031578947368421052631578947368421053
26-FEB-15,270.5,293.395,295.376923076923076923076923076923076923
27-FEB-15,281.7,291.9725,295.035
28-FEB-15,277.95,290.4625,294.618292682926829268292682926829268293
